squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,price
,9,0,1,47,51526,5,1,2017,3656368.7
,15,1,0,55,63595,1,7,2016,8410054.6
,27,1,1,94,9283,3,10,2005,321717.5
,48,1,1,17,71000,6,9,1993,8980518.3
,74,1,1,87,71053,10,9,2007,3039243.7
,5,0,1,35,5898,6,10,2016,5853710.6
,48,0,0,89,52165,10,1,1995,6666403.5
,43,0,1,38,49895,10,1,2018,7336538.8
,28,0,1,18,32083,9,8,2021,6000826.1
,20,1,0,58,46834,7,4,1998,7165980.8
,52,1,1,46,22405,9,6,2019,9257840.9
,60,1,1,24,76804,6,5,1992,5238533.2
,67,0,0,10,45626,3,3,1990,6732249
,99,0,1,87,20318,4,8,2013,4508695.3
,73,1,0,97,22943,9,5,2001,6159875.1
,50,0,1,72,22718,7,5,1993,8414104.3
,69,1,1,97,88798,6,1,1999,7767797.9
,31,1,1,37,87552,4,10,2020,2530488
,46,0,1,62,43289,6,3,2017,4212125.7
,43,0,1,51,3406,6,4,2021,3846214.1
,4,0,0,89,55300,9,2,2009,709107.9
,75,0,1,9,67297,4,5,2019,3480536.9
,100,1,0,7,19550,7,8,2020,1277834
,74,0,1,38,73976,10,7,1999,3380855.9
,37,1,0,43,72736,4,7,2011,63402.1
,61,1,0,83,26435,4,7,1994,733776.4
,20,1,1,84,60113,5,1,1997,3499532.7
,29,0,0,27,52970,4,1,1994,2563970.4
,64,0,0,23,79754,10,2,2012,5146226.2
,55,0,1,76,23408,8,4,2015,7900996.5
,64,1,1,41,92268,1,9,2006,7084110.6
,60,0,1,100,58048,3,8,2020,8198185
,36,0,1,21,82521,6,2,2007,9161130.7
,9,0,1,67,91168,2,3,2014,7216904.4
,19,0,0,52,69373,4,1,2003,2318776.3
,92,0,0,85,51212,4,6,2019,3953491.9
,23,0,0,8,849,8,3,1991,5524015.1
,49,0,1,92,2423,4,7,2006,5384554.6
,72,1,1,78,31721,3,9,1995,6789580.5
,59,0,0,1,2317,10,9,2018,146181.8
,93,1,1,61,74213,3,7,2019,8225970.9
,73,1,0,35,48674,4,9,2013,1792308.3
,71,0,0,93,68199,3,10,1995,7145471.5
,35,0,1,14,80204,10,6,2003,3267852.3
,71,1,1,25,32106,3,7,2010,2390804
,94,0,0,6,90448,3,10,1991,1650711.1
,24,1,0,67,74477,4,3,2002,3917652.2
,81,1,1,3,66191,7,9,1991,6522781.1
,91,1,0,94,87015,8,8,2013,6154833.3
,15,1,1,43,40786,8,8,2002,5724102.2
,57,0,0,57,30010,6,8,2021,1336414.1
,77,0,0,36,98465,4,1,1997,2738851.7
,50,0,1,60,89670,5,2,2020,1849227
,29,1,0,66,21239,3,5,2004,4552319.4
,15,0,0,97,5800,9,8,2001,5599976.1
,68,0,0,92,6143,3,1,2011,8198107.1
,70,1,0,74,25093,9,6,2011,1833338.1
,54,1,0,7,77355,10,6,2018,3568002.8
,12,1,0,77,18300,5,8,2002,9977000.2
,44,0,0,77,98008,6,3,2010,4770073
62887,45,0,1,7,91125,4,3,1993,6293710.3
18470,20,1,1,73,9406,3,1,2000,1852115
36031,63,1,0,47,74698,9,8,2001,3612495.1
22776,84,0,0,5,82401,9,9,1993,2278599.3
14830,81,1,0,1,17641,1,10,1992,1487488.2
43944,40,1,0,69,5581,10,5,2012,4403326.2
73062,34,1,1,38,44770,4,8,2016,7313447.6
84284,76,0,0,39,55723,5,1,1998,8432554.8
9619,66,1,0,91,82543,9,5,1991,969806.1
11410,96,0,1,96,85454,8,3,2019,1150663.9
29855,63,0,0,23,78080,5,5,2000,2987645
46716,94,0,0,58,25303,8,5,2008,4674140.8
77046,69,1,0,85,43517,4,2,1992,7714235.2
58855,1,0,0,66,20127,3,7,2004,5892518.4
69165,66,1,0,74,51371,4,4,2009,6926290.9
57915,25,0,1,84,87517,10,4,2007,5800324.7
66279,47,1,0,9,21934,3,2,2003,6631365.3
16068,21,1,0,13,21716,8,8,1991,1611707.1
74325,50,1,1,58,91978,8,10,1994,7443433.4
35742,46,1,1,47,84138,7,1,2014,3581003.4
9026,51,1,0,28,85842,1,5,2000,904797
16899,19,0,1,14,47328,2,4,2020,1693690
99854,82,0,0,64,82741,3,8,2009,9989598.9
33743,56,1,1,29,21945,10,8,2006,3382812.6
72798,22,1,1,30,61212,9,3,2007,7290431.7
86492,21,0,0,86,42450,3,7,1992,8654049.2
38937,35,0,1,77,2867,2,6,2013,3901433.3
24762,22,0,1,62,50367,10,10,1999,2480900.9
91047,45,0,0,65,41065,8,2,1999,9109264.9
55527,64,0,1,44,61931,4,2,2005,5557814.5
70606,17,1,1,79,38,7,3,2017,7070662.7
67327,47,0,0,87,26709,9,3,1990,6741466
6125,90,0,1,29,95979,1,2,2012,615143.2
71833,37,0,1,51,58147,2,5,2013,7185318.3
20811,98,1,1,71,91543,1,4,1995,2090690.5
7643,98,0,0,63,5989,2,3,1999,765618.9
16669,95,1,1,81,15949,4,3,2007,1676719.7
84006,73,1,1,97,54296,4,7,2000,8409827
34059,49,0,0,90,63489,4,8,1993,3412619.3
36131,95,0,0,88,72385,8,8,1991,3620939.1
8201,18,1,1,66,38920,7,2,2007,826967.7
38398,84,0,0,22,44513,6,8,1994,3842545.4
38833,10,0,0,14,28075,4,3,2014,3884619.4
41488,22,0,0,59,2019,9,1,2013,4151539.3
5205,2,0,0,15,71289,7,3,2005,521650.5
45066,28,0,0,62,85825,9,5,2013,4508367.3
63875,53,1,1,14,54408,7,3,1999,6394774.9
25052,88,0,0,94,1083,8,6,2020,2515214
51457,64,0,1,32,68294,3,10,2016,5150600.6
84396,64,0,0,96,88421,6,7,2015,8449333.5
64920,98,0,1,63,1173,8,8,2016,6501809.6
9166,4,1,0,16,26610,4,1,2015,922847.5
85558,48,1,0,83,55318,2,9,2017,8568781.7
87267,75,1,0,81,57714,6,10,2019,8731940.9
96091,100,0,1,24,99874,10,3,1999,9615021.9
38003,98,1,0,6,49191,8,10,2008,3803545.8
83120,97,0,1,68,93953,6,6,2015,8318749.5
20468,100,1,0,34,63924,6,4,2003,2049846.3
75152,91,1,0,37,61836,3,3,2018,7518709.8
32688,9,1,1,18,86166,6,5,2013,3274057.3
45868,72,1,1,69,33082,5,7,1994,4600708.4
73900,69,0,1,36,57473,4,3,2018,7394635.8
16000,41,1,1,25,86898,9,4,2007,1606948.7
1423,59,0,1,30,21687,8,4,1993,149234.3
29951,37,1,1,13,56604,6,8,1995,3002371.5
40231,84,0,1,41,64474,4,5,1999,4030226.9
59517,38,1,0,69,93928,8,8,2003,5958698.3
98969,26,1,0,69,36941,10,8,2003,9902968.3
99177,49,0,0,41,5100,6,10,2021,9919217.1
89157,46,0,0,42,34482,3,6,2009,8920282.9
67429,60,0,1,24,89820,8,7,1991,6749654.1
38431,57,1,0,60,69199,9,3,2020,3848467
72495,76,1,1,59,8723,8,10,1994,7259025.4
85362,77,1,0,19,40604,6,5,1997,8541211.7
28597,93,0,0,47,16237,3,9,1990,2863386
13687,36,1,1,93,2400,3,5,2001,1376329.1
50479,3,0,1,73,39939,5,9,2020,5057657
98121,38,0,1,57,20289,7,4,1995,9817494.5
57736,16,0,0,21,83855,9,6,1999,5775940.9
30356,40,0,0,85,13378,7,1,1992,3039209.2
21141,38,0,1,80,65184,10,3,1998,2126023.8
98122,34,0,0,7,80176,7,4,2009,9813433.9
34746,12,1,0,15,57668,10,5,2000,3478332
17297,43,1,1,19,99289,7,5,2012,1738971.2
80324,47,1,1,7,20394,3,2,1993,8039714.3
15815,13,1,1,2,2179,7,1,2019,1585031.9
1066,5,1,1,46,65388,4,9,2017,114605.7
79275,95,0,1,67,13000,5,9,1995,7930383.5
20658,7,1,1,48,80216,4,10,1997,2076936.7
8687,88,0,1,64,2052,3,6,1993,877525.3
69638,42,1,1,63,89878,1,2,1991,6977654.1
94036,18,0,0,19,79418,10,9,2001,9406163.1
60889,72,0,0,87,55928,6,8,2018,6091341.8
11680,21,0,0,14,5324,10,1,1992,1169431.2
11458,96,1,1,31,95286,9,5,2010,1154040
20397,67,0,0,79,29406,8,7,1997,2042985.7
83206,34,1,0,51,27565,9,9,1999,8326302.9
8951,11,1,0,63,32412,1,10,1997,904889.7
22854,41,1,0,89,74420,4,7,2001,2292467.1
46042,52,0,0,74,45861,9,8,2015,4605791.5
93506,20,1,0,28,7068,8,9,2017,9356982.7
58748,76,0,0,40,20761,2,5,2010,5875981
715,71,0,0,23,33439,7,3,2010,74252
55327,22,1,0,59,76622,1,2,1993,5540589.3
63631,84,1,0,12,31269,6,10,2000,6369055
77915,99,0,0,21,63942,5,10,2018,7793915.8
91804,5,0,0,81,87339,3,9,1999,9182083.9
57295,95,0,0,69,32081,2,2,1994,5731510.4
61057,65,1,0,77,17051,9,8,1998,6114671.8
91626,83,1,0,55,59173,4,5,1991,9169068.1
29356,96,1,1,46,4864,4,9,1990,2948071
27134,62,1,0,2,1498,7,7,2003,2715604.3
1682,65,1,0,79,7602,2,3,2017,174918.7
98868,41,0,1,67,85917,7,3,2021,9892300.1
23898,62,1,0,93,73176,9,9,1996,2399286.6
83110,43,1,0,75,55046,7,10,2001,8321631.1
71154,67,0,1,53,8762,2,6,2021,7122699.1
90841,48,1,0,15,25300,6,5,2003,9086177.3
68416,87,1,0,48,60979,8,7,2010,6846709
47585,95,0,0,5,81532,5,1,1993,4759724.3
28452,79,1,0,40,79918,4,10,2006,2850377.6
15630,78,1,0,4,98750,7,3,1996,1565985.6
65900,36,1,1,99,27819,1,5,2017,6605894.7
21600,94,1,0,56,85215,10,8,2000,2166421
74704,31,0,0,22,93675,1,9,1992,7472587.2
87291,78,1,1,42,5950,3,3,2017,8739254.7
96687,65,0,1,81,70871,4,4,2012,9673884.2
60567,65,1,1,100,39919,7,6,2019,6071330.9
4872,41,0,0,74,79028,9,6,1990,489455
9157,48,1,0,53,6500,4,10,2009,922102.9
65217,26,1,1,39,96357,6,8,2019,6531999.9
87346,56,1,1,82,34773,9,9,1990,8743241
47701,26,1,0,46,73572,3,5,2001,4773352.1
14766,50,0,1,79,36865,8,1,2001,1488265.1
94841,19,1,1,75,11526,3,5,1998,9498026.8
59318,92,0,0,91,68354,9,8,2002,5939275.2
1796,28,0,0,4,66676,1,1,1997,180265.7
96526,36,1,1,34,61875,5,2,2020,9661068
62876,36,0,0,9,90089,4,8,2006,6288117.6
59558,43,1,1,89,79779,4,3,2012,5967916.2
97008,89,0,1,4,11466,9,5,2014,9703551.4
66746,6,1,0,10,22139,7,3,1997,6678869.7
25776,36,0,0,93,4777,5,9,2002,2582235.2
96195,97,0,1,64,91809,7,4,2018,9626665.8
4805,47,1,1,99,48026,5,5,1995,486824.5
23045,21,1,0,75,72570,5,5,1990,2312202
95441,70,0,1,65,3574,6,10,2017,9554998.7
28381,34,1,0,64,44973,6,2,2009,2847241.9
15731,34,1,1,37,93825,5,2,2003,1582940.3
18966,58,1,0,25,4414,10,4,2019,1902151.9
24393,46,1,1,16,18507,4,8,2019,2449464.9
53339,67,0,0,11,6144,4,1,2013,5335546.3
44053,17,1,0,55,70068,9,3,2004,4413295.4
70898,98,0,0,92,51635,6,1,1994,7091863.4
84483,41,1,0,85,28464,10,3,2019,8452134.9
35716,24,1,0,52,77207,4,2,2013,3574932.3
64693,64,0,0,81,90290,10,9,2013,6471378.3
32593,40,1,0,94,89328,2,9,2006,3265750.6
1607,63,1,1,52,32832,10,8,2020,173112
39484,74,0,1,30,6688,6,4,1991,3954971.1
32458,28,1,1,20,47125,1,3,2015,3253846.5
72243,64,0,1,23,34837,2,1,2004,7229477.4
20624,44,1,0,83,50284,10,2,1996,2070369.6
7443,38,1,0,41,4785,8,8,2005,748338.5
78382,41,0,0,14,58781,7,1,2020,7840062
70614,15,1,1,100,61317,10,5,2010,7075926
32235,59,1,0,10,76786,2,6,2016,3225143.6
2523,12,1,1,67,75753,3,10,2015,260710.5
87864,55,0,0,77,48421,8,4,2019,8790481.9
18316,97,0,0,3,68804,10,5,1991,1832673.1
94471,30,1,1,79,55210,6,1,2011,9454072.1
60704,96,1,1,29,18856,1,10,2004,6080655.4
54020,4,1,0,64,58230,1,3,2013,5406334.3
59612,37,1,0,56,69063,10,7,2017,5967739.7
56467,63,0,0,41,28576,3,2,1990,5649094
65625,55,0,1,36,89469,2,10,2015,6567597.5
41570,76,0,1,98,21758,10,4,2014,4167932.4
44862,99,0,1,68,58122,7,5,1992,4493882.2
47212,37,1,1,81,4826,7,4,2001,4734236.1
2840,17,1,0,26,94918,4,4,2004,288797.4
40465,85,0,0,100,6023,4,9,2004,4052600.4
17191,80,1,1,29,49538,2,5,1995,1728829.5
56480,85,1,0,80,21192,8,3,2016,5653048.6
70503,78,0,0,29,72210,2,6,2021,7051701.1
4885,100,0,0,54,79559,7,8,1993,493693.3
58263,65,1,1,57,39046,9,10,2006,5840294.6
47647,52,0,1,6,24285,10,2,2002,4768169.2
57916,51,0,0,24,8801,8,1,1998,5792783.8
6396,71,0,0,40,28917,6,6,2005,643620.5
41972,18,0,1,49,40098,7,7,1995,4206464.5
94311,11,1,0,47,89062,8,1,2007,9439790.7
10714,41,0,1,98,23803,5,6,1996,1075982.6
11259,26,0,1,82,34780,10,4,2010,1134964
3534,16,1,1,13,39998,4,1,2003,359850.3
52680,10,0,1,79,10177,6,4,1991,5274696.1
62711,60,0,0,29,42211,8,10,2007,6272944.7
19268,12,1,0,77,38471,3,5,2010,1938014
36119,39,1,0,46,16503,7,4,2019,3620813.9
28394,53,0,0,7,81916,8,8,2003,2840816.3
20392,33,1,0,84,53104,10,5,2007,2046763.7
7259,25,1,1,39,860,1,4,2014,735079.4
28183,81,0,0,52,44087,5,2,1993,2821593.3
92188,14,0,1,95,5286,10,2,1996,9227140.6
29815,28,0,0,77,46462,9,7,1995,2989048.5
50219,96,1,0,54,23667,9,6,2003,5025975.3
1722,56,0,1,84,27948,8,8,2002,182838.2
70399,14,0,1,85,82950,6,5,2013,7048784.3
28790,52,1,0,15,13856,7,6,2021,2883447.1
92962,7,1,1,37,32437,5,1,2000,9304587
34245,2,1,0,85,50891,4,4,2010,3430728
54677,64,1,1,94,77132,2,10,1996,5477618.6
74227,84,1,0,5,98736,7,7,2000,7427853
94939,46,1,1,48,55155,9,10,2009,9503765.9
48884,58,1,0,32,15276,1,7,2010,4895277
10638,39,0,0,33,64229,5,4,2016,1066200.6
90315,61,1,1,91,21653,7,7,1994,9044477.4
17633,28,0,0,83,83228,6,2,2013,1767487.3
63242,45,0,1,18,63066,4,10,2017,6327623.7
79344,46,1,1,42,19012,2,3,1991,7945562.1
72093,48,0,1,92,83520,8,1,2005,7223902.5
13378,59,1,0,9,2735,1,1,2001,1342476.1
47019,35,0,1,9,60947,8,4,2020,4706162
34666,75,1,1,14,28826,5,2,2002,3477313.2
93509,28,1,1,62,48468,6,2,1992,9361261.2
13583,42,1,0,32,42009,7,2,2015,1364589.5
19649,11,0,1,83,87255,4,4,1999,1970018.9
141,16,0,1,58,42248,5,4,1997,22670.7
22821,64,1,1,14,66304,9,8,1993,2289134.3
533,76,1,1,55,94923,6,8,2021,65465.1
67020,71,1,1,38,64361,4,7,2015,6711051.5
49094,30,1,0,49,90656,9,2,2021,4916616.1
25269,88,0,0,92,86720,6,7,2019,2530193.9
71989,41,0,0,77,50519,2,3,2003,7204744.3
73180,1,1,1,54,38386,9,7,2011,7325717.1
18926,58,1,1,84,32618,6,4,1998,1908217.8
6492,76,0,0,88,81044,10,3,2018,652565.8
98045,4,1,1,8,78526,4,5,2002,9814193.2
51589,83,0,1,43,55528,6,10,1998,5167451.8
24390,75,1,0,44,70527,10,9,1992,2446317.2
75890,10,0,1,59,33129,9,5,2001,7597786.1
29220,9,0,1,59,33789,7,6,1994,2929116.4
72433,57,1,1,18,69864,7,7,2001,7250644.1
57467,98,0,0,64,24393,7,3,1993,5749361.3
81482,76,1,0,9,56103,1,7,1997,8153070.7
61346,69,0,1,52,63238,7,10,2009,6141452.9
80915,23,1,1,67,46095,9,6,1992,8104297.2
65479,74,0,1,35,99953,10,5,2000,6552454
48302,22,1,0,13,82376,2,9,2017,4833604.7
76690,21,1,1,99,91395,1,1,1990,7682267
14447,39,0,1,23,93847,6,8,2002,1448447.2
24213,31,1,1,93,51767,1,7,1994,2431969.4
1843,30,1,1,3,3,4,7,2007,189919.7
78183,65,1,1,86,3648,7,9,2007,7829898.7
99323,35,0,1,28,69665,6,7,2018,9939399.8
67491,21,0,0,57,5308,6,7,2007,6750826.7
2588,82,1,0,69,25395,1,5,2016,267798.6
76635,6,1,1,1,73981,2,5,1999,7669791.9
45070,100,0,0,92,21335,9,9,1997,4510977.7
62381,58,1,0,44,22862,1,4,2003,6243323.3
98543,2,1,0,44,88249,1,3,1992,9860222.2
13972,39,0,0,8,91674,2,2,2009,1397748.9
71567,70,0,1,94,64245,10,8,1992,7166917.2
36804,99,0,0,12,76338,2,8,1996,3681839.6
21297,71,1,1,14,75154,2,3,1995,2136801.5
9950,1,1,0,69,79019,5,10,2012,1000736.2
3661,50,1,1,24,1138,3,8,2007,372556.7
88102,51,1,0,70,42082,8,3,2016,8821018.6
72596,91,0,0,90,32957,7,6,2015,7262781.5
70763,4,1,0,38,18220,10,4,2015,7082373.5
12002,58,0,0,41,2764,8,8,1995,1203664.5
26146,34,0,1,98,431,7,9,2011,2627462.1
13716,62,0,1,98,61202,6,8,1990,1382883
23281,32,1,1,52,87667,9,10,2020,2339782
3824,45,1,1,9,11597,5,6,2019,386574.9
56086,3,1,0,46,52007,6,2,2021,5615576.1
19014,67,1,0,89,82387,8,2,1999,1912984.9
80808,59,1,0,1,18733,7,5,2004,8085990.4
83602,5,0,1,2,48528,9,7,1991,8365162.1
99767,27,0,1,79,46530,2,8,2018,9985836.8
60675,32,1,0,51,97066,9,7,2002,6075733.2
20210,2,1,0,78,77066,1,8,2007,2029228.7
28694,82,0,0,20,44298,2,3,1991,2870499.1
45521,53,0,0,32,26627,9,9,1991,4554205.1
55727,46,0,0,77,94339,5,5,2016,5574845.6
17307,20,1,0,66,81794,5,8,2006,1740869.6
86474,98,0,0,33,50147,1,6,2004,8649993.4
6012,53,1,0,38,96011,8,7,2013,607323.3
6617,51,0,0,38,26766,10,4,2010,663333
34061,43,0,0,90,26346,3,1,1993,3407529.3
12881,12,1,0,68,85503,10,5,2006,1293712.6
48458,82,1,0,72,98206,3,6,2002,4851198.2
89618,49,1,0,36,30029,1,6,2006,8969519.6
10369,30,1,0,68,51049,8,10,1999,1044857.9
21865,24,0,1,79,50297,10,5,1993,2191960.3
30817,48,0,0,63,26230,9,3,2013,3086005.3
8808,85,1,0,37,93756,5,10,1998,888730.8
16006,69,1,1,26,6423,7,10,1990,1610901
70517,37,0,0,1,67679,5,6,2002,7052408.2
55592,68,0,1,10,80811,7,6,2021,5564877.1
10978,17,0,1,55,25000,2,9,2015,1103882.5
94388,7,1,0,81,41690,8,8,1996,9446167.6
18041,90,1,0,99,90750,6,8,2006,1817658.6
18220,91,0,1,97,50508,8,4,2013,1833031.3
39342,7,1,1,84,88712,5,7,1994,3946165.4
66570,59,0,0,2,85412,7,10,2008,6657976.8
34592,100,0,1,33,63748,1,7,1994,3465076.4
38700,25,1,1,26,101,4,7,1996,3880396.6
32060,25,0,1,97,43201,8,9,2017,3211741.7
8305,86,0,0,83,36778,9,9,2001,838488.1
40080,50,0,0,82,11062,8,8,2018,4011225.8
89335,66,1,1,54,25219,7,2,2004,8938823.4
78546,92,0,1,84,52906,10,6,1991,7864949.1
50066,63,0,1,67,81340,8,5,1998,5015729.8
37008,61,1,1,75,13250,6,3,2013,3708694.3
32876,98,1,1,32,48832,7,9,2008,3299047.8
98266,14,1,1,42,27552,8,10,1990,9838529
53665,66,1,1,81,16527,10,3,2002,5379979.2
33469,98,1,1,91,29874,7,7,2016,3362757.6
42578,49,1,1,23,3339,7,8,2013,4264812.3
64329,25,1,0,44,54901,4,5,2019,6436473.9
29512,96,0,1,26,49748,2,8,2012,2955396.2
241,78,0,1,50,86182,7,6,2013,29643.3
32709,47,1,1,80,86465,1,3,2006,3284181.6
29271,70,0,1,98,33402,10,3,2021,2938810.1
15542,19,0,0,27,48610,8,7,1996,1556824.6
94951,52,0,1,80,45083,8,4,2014,9498811.4
12296,54,1,0,45,44308,9,10,2008,1233872.8
42390,17,0,0,96,16776,5,1,2001,4245306.1
2157,22,0,0,93,68218,5,4,2021,222104.1
70576,66,1,0,7,75420,4,7,2013,7061024.3
22232,24,0,1,52,20211,5,9,2005,2230267.5
31368,78,1,0,86,96715,4,5,2007,3142605.7
2713,76,0,0,19,66674,8,5,2000,273858
40939,60,1,0,6,67333,4,7,2017,4097363.7
84892,59,0,0,46,1488,6,10,2007,8492982.7
43332,60,0,1,24,16226,5,5,2002,4336691.2
39445,100,0,0,66,31733,10,5,1990,3947777
82032,78,1,0,64,11922,9,10,2004,8209534.4
813,45,0,1,15,52891,7,2,1998,84647.8
43432,44,0,1,34,780,1,4,2010,4347238
80988,34,0,1,57,56385,6,10,2015,8104253.5
99444,68,1,0,60,93693,2,4,2021,9947284.1
37618,57,0,0,45,59333,2,3,2008,3766350.8
63973,18,1,0,78,40739,1,10,2002,6405935.2
99107,54,0,1,65,88495,3,4,2018,9916550.8
71519,12,0,1,80,24484,1,8,2012,7156303.2
91841,77,0,0,14,19103,5,2,2011,9185367.1
28467,98,1,1,70,90596,7,6,2019,2855561.9
77075,52,1,0,11,13884,10,10,2002,7713855.2
91776,26,0,0,72,92099,10,1,2001,9184100.1
69948,45,1,1,59,38826,10,3,2017,7006951.7
68593,3,1,1,65,78866,3,3,2021,6867934.1
56774,50,1,0,23,45524,7,4,1995,5682955.5
84577,63,0,1,64,43522,6,7,1991,8467175.1
78835,77,0,0,84,40276,3,6,2002,7887862.2
59073,82,0,1,38,50312,1,5,2003,5909662.3
6704,83,1,1,59,94479,8,10,2012,682123.2
20968,48,1,0,6,39273,3,6,1992,2100783.2
64244,20,1,0,82,89404,6,9,2021,6435074.1
54133,1,0,1,89,49508,2,3,1993,5426671.3
90842,60,1,1,25,25975,3,6,1995,9092168.5
51780,83,0,0,88,3391,3,8,2021,5184160.1
38722,91,1,0,22,20239,5,5,2008,3876450.8
51127,85,1,0,66,53060,2,2,1996,5119947.6
31802,100,0,0,80,6094,7,3,1990,3184469
26770,8,1,1,69,79970,10,8,2016,2687139.6
63839,58,1,1,2,92707,4,6,2019,6389327.9
56181,76,0,1,98,27961,4,4,1996,5630006.6
91757,82,0,0,78,92525,8,4,2012,9182239.2
54200,51,0,0,43,34559,2,5,2010,5423195
29788,61,0,0,68,65901,2,3,2011,2983377.1
29180,7,1,0,1,71840,5,8,1999,2923248.9
30630,62,0,1,65,24522,1,5,1996,3072463.6
81114,23,0,1,89,34182,6,2,2007,8118084.7
96016,48,0,1,35,76744,6,4,1998,9605401.8
8977,53,0,1,62,91218,1,3,2014,905963.4
92508,60,0,0,88,67387,6,7,2006,9257332.6
38804,18,1,0,45,39560,4,2,2000,3885083
34830,92,1,0,85,74921,3,4,2003,3488181.3
48540,42,0,0,27,98742,4,5,2016,4856286.6
25680,51,1,0,11,39163,9,8,2009,2573981.9
73224,66,0,0,74,2142,2,3,2021,7330502.1
29589,45,1,1,76,83674,3,1,2006,2973362.6
96469,21,1,0,13,7761,2,9,1994,9651382.4
35039,19,0,1,22,4336,6,2,1994,3511457.4
99592,47,1,0,61,41554,7,5,1997,9963329.7
70433,41,1,0,1,59694,5,8,2018,7045037.8
73644,18,0,0,7,87197,9,4,1998,7365392.8
77211,47,0,1,84,2192,7,9,2006,7725844.6
36429,8,0,1,29,15705,5,7,2019,3651244.9
90334,44,1,0,6,81833,10,1,1990,9037622
51993,59,1,1,33,34373,6,10,2013,5208507.3
44476,27,0,1,13,14585,9,10,2013,4450503.3
31661,52,0,0,18,95986,8,5,2020,3168722
68275,93,0,1,54,82905,4,6,2020,6833270
85429,60,1,1,57,75588,7,6,2016,8553293.6
90162,71,1,1,27,52536,3,4,1992,9023922.2
81619,82,1,1,70,53446,10,5,2014,8173020.4
65324,7,0,1,8,53047,9,6,2009,6538401.9
4368,85,0,1,29,46782,9,8,2021,443641.1
24525,35,0,1,73,78932,4,8,2009,2461959.9
20949,5,1,1,22,26964,4,8,2013,2102983.3
23609,14,0,0,68,24913,7,8,2017,2364571.7
68084,35,0,0,8,40586,7,3,2009,6809686.9
73406,72,1,0,75,77874,4,6,2007,7351988.7
50638,65,1,0,54,62598,7,5,2016,5068736.6
